"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
2015,"UF",50,"2651235",2449024,1219928,1229096,611713,1368538,468773,300044,688144,240908
2015,"MUNICIPIO",5000203,"14474",14424,7545,6879,4080,8425,1919,1972,4073,834
2015,"MUNICIPIO",5000252,"5038",4569,2432,2137,1090,2679,800,531,1280,326
2015,"MUNICIPIO",5000609,"37590",34730,17375,17355,10374,18306,6050,5095,9227,3033
2015,"MUNICIPIO",5000708,"24748",23835,11911,11924,6199,12616,5020,3078,6363,2483
2015,"MUNICIPIO",5000807,"8844",8493,4313,4180,2176,4578,1739,1115,2248,817
2015,"MUNICIPIO",5000856,"10149",9185,4696,4489,2201,5142,1842,1073,2498,918
2015,"MUNICIPIO",5000906,"8679",8208,4108,4100,2588,4144,1476,1216,2141,743
2015,"MUNICIPIO",5001003,"24414",22320,11152,11168,5084,12228,5008,2522,6073,2573
2015,"MUNICIPIO",5001102,"47162",45614,22851,22763,12189,23552,9873,5884,11857,5022
2015,"MUNICIPIO",5001243,"11399",10251,5266,4985,3430,5331,1490,1706,2579,700
2015,"MUNICIPIO",5001508,"6771",6609,3459,3150,1553,3542,1514,752,1742,656
2015,"MUNICIPIO",5001904,"21775",19839,10090,9749,5024,11415,3400,2427,5691,1631
2015,"MUNICIPIO",5002001,"11208",10936,5419,5517,2865,5864,2207,1442,2966,1109
2015,"MUNICIPIO",5002100,"24113",23181,11720,11461,6604,12079,4498,3231,5947,2283
2015,"MUNICIPIO",5002159,"7898",7985,4113,3872,2101,4429,1455,1001,2180,691
2015,"MUNICIPIO",5002209,"21047",19587,9878,9709,5223,10804,3560,2585,5469,1655
2015,"MUNICIPIO",5002308,"11903",11826,6045,5781,2993,6714,2119,1482,3290,1009
2015,"MUNICIPIO",5002407,"28437",25767,12918,12849,7426,13914,4427,3682,6952,2215
2015,"MUNICIPIO",5002605,"13731",13625,7067,6558,3096,7479,3050,1480,3677,1401
2015,"MUNICIPIO",5002704,"853622",786797,381333,405464,178020,452842,155935,87272,232733,85459
