"","ANO","NIVEL","CODMUNRES","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGCC","TGSC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC"
"1",2015,"UF",50,44142,0,42365,512,8305,11928,10669,8067,3810,805,45,1,43629,20,25,30,25.65,6.51,265,2046,13492,18623,2852,6336,15228,862,83,25104,1889,20982,23160,27314,0,884,43258,13,213,419,4599,37275,0,5244,37275,1623,NA,NA,NA,NA,NA,328,9782,3775,3547,25647,38158,5984,17367,26752,42139,1459,76,10039,4000,9209,2264,11252,539,752,857,76,4496,43716,165,202,52,0,22578,21559,15487,867,83,25157,1893,3531,38422,2169,NA,NA,NA,NA,NA,2824,35177,4611,379,43548,NA,NA,280,43694
"2",2015,"MUNICIPIO",500020,253,0,242,1,68,82,54,32,14,2,0,0,252,19,23,27,23.9802371541502,5.82989735056612,2,8,109,105,12,16,60,3,0,190,0,110,143,152,0,8,245,0,0,1,19,218,0,20,218,15,38,39,40,38.6653225806452,1.84327399071114,0,86,36,23,102,201,52,88,164,249,3,0,68,21,60,14,59,0,2,7,0,17,252,1,0,0,0,148,105,60,3,0,190,0,20,223,10,2925,3230,3500,3187.604743083,552.315474013319,16,210,15,0,253,9.63636363636364,0.61251969370819,0,252
"3",2015,"MUNICIPIO",500025,38,0,37,0,12,5,11,8,2,0,0,0,38,19,26,29.75,25.0263157894737,6.31808576084288,0,4,15,13,2,4,6,2,0,30,0,17,21,22,0,4,34,0,0,1,5,30,0,6,30,2,38,39,39,38.3421052631579,2.49622759475902,0,5,0,3,29,2,36,10,28,36,2,0,7,5,7,0,10,0,1,4,0,4,38,0,0,0,0,15,23,6,2,0,30,0,7,31,0,2760,3040,3245,2963.84210526316,447.780322969524,4,27,2,1,36,9.54054054054054,1.0433544884595,0,38
"4",2015,"MUNICIPIO",500060,646,0,131,22,162,174,125,100,49,11,3,0,624,19,23,30,24.5634674922601,6.93769591053136,27,89,236,154,48,40,102,0,0,22,58,218,428,416,0,18,628,2,2,6,136,455,0,146,455,45,37,39,40,37.9813374805599,2.81677663422453,3,186,93,72,284,589,57,391,241,633,7,0,120,52,194,25,93,2,4,10,0,135,643,3,0,0,0,310,336,102,0,0,22,58,70,537,39,2831.25,3175,3478.75,3138.1253869969,568.044971529616,49,462,94,2,642,9.73447204968944,0.647515554010623,2,641
"5",2015,"MUNICIPIO",500070,370,0,368,7,94,111,89,47,17,5,0,0,363,19,23,28,24.0135135135135,6.14921336596333,2,22,129,162,20,35,45,2,0,313,9,166,204,227,0,4,366,0,3,6,28,314,0,37,314,19,38,39,40,38.6720867208672,2.45022320036145,5,132,34,19,173,113,257,176,194,328,38,3,89,20,95,7,81,15,23,4,3,32,368,1,1,0,0,193,177,45,2,0,313,9,22,316,32,2998.5,3280,3598.5,3266.85675675676,576.951669334842,28,278,56,3,366,10.810298102981,10.3766985077992,2,368
"6",2015,"MUNICIPIO",500080,118,0,116,2,25,35,26,19,7,4,0,0,116,20,24,29.75,25.1610169491525,6.82124677049466,0,6,45,47,5,15,34,0,0,82,2,96,22,73,0,1,117,0,0,3,13,92,0,16,92,10,38,39,40,38.7692307692308,2.35395710631172,0,30,5,3,78,95,23,33,85,113,4,0,30,7,27,5,26,2,2,1,0,16,118,0,0,0,0,61,57,34,0,0,82,2,10,105,3,2815,3190,3490,3141.68644067797,522.544770897529,14,83,16,0,118,9.3728813559322,0.713683237564854,0,118
"7",2015,"MUNICIPIO",500085,170,0,108,0,26,45,56,30,12,1,0,0,170,22,26,29.75,26,5.61907149776913,0,3,30,58,8,10,52,11,1,44,0,121,49,114,0,2,168,0,0,0,17,134,0,17,134,19,38,39,41,39.0196078431373,1.82263035861598,0,13,6,10,80,70,100,30,140,105,4,0,18,17,15,7,37,1,1,2,0,11,170,0,0,0,0,86,84,107,11,1,50,0,7,151,12,2952.5,3200,3450,3219.80588235294,474.518121152893,11,128,12,0,170,9.77647058823529,0.603274508218211,0,170
"8",2015,"MUNICIPIO",500090,146,0,144,4,38,43,30,19,11,1,0,0,142,19,23,28,24.0479452054795,6.52351945605503,8,9,58,57,5,9,37,4,0,77,28,81,65,92,0,10,136,1,0,0,19,123,0,20,123,3,38,39,40,38.3263888888889,2.34096943970611,2,56,4,9,75,104,42,83,63,141,4,0,33,11,41,10,24,2,1,10,0,12,144,0,2,0,0,74,72,37,4,0,77,28,10,129,6,2900,3150,3450,3137.18620689655,519.424053188386,10,114,9,1,144,9.62068965517241,0.791174983430423,0,146
"9",2015,"MUNICIPIO",500100,368,0,166,1,89,112,87,50,24,5,0,0,367,20,24,28,24.5679347826087,6.05476856917362,0,5,39,78,15,34,118,0,0,52,0,270,98,231,0,10,358,0,1,2,29,332,0,32,332,4,38,41,41,39.3896457765668,2.22460204211172,1,26,9,7,128,218,150,92,276,161,11,1,25,36,9,12,56,2,5,10,1,20,368,0,0,0,0,195,173,279,4,0,82,0,22,324,22,2918.75,3245,3570,3234.55163043478,525.318040475064,39,278,39,4,364,9.35869565217391,0.91706820785354,2,361
"10",2015,"MUNICIPIO",500110,781,0,773,16,185,204,185,137,46,8,0,0,765,19,24,29,24.5531370038412,6.24181975585159,2,50,317,287,50,75,122,11,1,558,89,379,402,511,0,19,762,0,7,5,54,672,0,66,672,43,38,39,40,38.8297055057618,2.26182103632039,6,250,61,47,411,680,101,381,400,687,89,3,192,19,237,11,166,33,48,19,3,51,771,0,7,3,0,395,385,122,11,1,558,89,57,669,55,2976,3270,3596,3257.39692701665,545.350260245211,63,591,107,12,766,11.4434447300771,12.7237761998023,4,776
